0.97,0.309,0.085,0.105,0.185,0.066,0.273,0.139,0.573,0.317,0.182,0.366
0.996,0.611,0.147,0.453,0.34,0.243,0.395,0.441,0.471,0.641,0.515,0.576
0.9,0.613,0.667,0.376,0.41,0.297,0.182,0.548,0.459,0.562,0.497,0.492
0.999,0.743,0.308,0.421,0.691,0.253,0.022,0.411,0.734,0.579,0.358,0.207
0.999,0.512,0.591,0.373,0.63,0.125,0.154,0.488,0.714,0.501,0.576,0.202
0.457,0.161,0.616,0.636,0.662,0.289,0.048,0.55,0.331,0.562,0.532,0.428
0.323,0.313,0.626,0.662,0.704,0.3,0.278,0.681,0.305,0.48,0.356,0.431
0.473,0.632,0.709,0.214,0.676,0.214,0.615,0.691,0.349,0.502,0.302,0.507
0.528,0.647,0.672,0.604,0.446,0.377,0.386,0.475,0.547,0.673,0.569,0.287
0.431,0.496,0.406,0.673,0.565,0.441,0.419,0.677,0.577,0.666,0.276,0.665
0.467,0.139,0.54,0.521,0.289,0.341,0.327,0.747,0.589,0.637,0.356,0.5
0.436,0.543,0.365,0.475,0.555,0.213,0.459,0.441,0.515,0.548,0.254,0.569
0.516,0.617,0.687,0.634,0.72,0.499,0.362,0.714,0.461,0.534,0.375,0.269
0.588,0.727,0.755,0.384,0.577,0.516,0.311,0.33,0.615,0.46,0.573,0.309
0.339,0.747,0.683,0.189,0.625,0.467,0.345,0.621,0.507,0.39,0.57,0.402
0.459,0.582,0.643,0.542,0.605,0.435,0.31,0.458,0.47,0.511,0.264,0.431
