0.975,0.201,0.033,0.09,0.193,0.05,0.243,0.132,0.5,0.308,0.158,0.336
0.993,0.547,0.062,0.401,0.263,0.215,0.315,0.43,0.428,0.613,0.495,0.545
0.9,0.574,0.653,0.224,0.388,0.3,0.092,0.433,0.411,0.543,0.467,0.475
0.999,0.697,0.304,0.273,0.662,0.247,0.006,0.369,0.735,0.507,0.331,0.167
0.999,0.377,0.544,0.138,0.59,0.088,0.042,0.451,0.722,0.469,0.532,0.162
0.46,0.126,0.548,0.464,0.641,0.215,0.027,0.53,0.326,0.509,0.52,0.312
0.283,0.3,0.568,0.548,0.67,0.302,0.239,0.615,0.254,0.463,0.345,0.369
0.341,0.618,0.661,0.128,0.527,0.205,0.528,0.681,0.29,0.476,0.294,0.447
0.469,0.621,0.514,0.502,0.298,0.377,0.368,0.465,0.507,0.656,0.551,0.201
0.38,0.468,0.347,0.62,0.527,0.409,0.38,0.668,0.562,0.645,0.264,0.628
0.399,0.126,0.516,0.369,0.241,0.318,0.272,0.74,0.545,0.627,0.345,0.45
0.366,0.443,0.328,0.29,0.399,0.197,0.422,0.431,0.476,0.511,0.255,0.427
0.453,0.54,0.667,0.571,0.649,0.461,0.331,0.71,0.409,0.509,0.371,0.254
0.575,0.693,0.748,0.28,0.548,0.459,0.22,0.286,0.529,0.451,0.547,0.282
0.328,0.718,0.653,0.153,0.591,0.309,0.27,0.56,0.462,0.36,0.546,0.327
0.432,0.516,0.59,0.439,0.547,0.377,0.258,0.425,0.418,0.474,0.252,0.379
