0.975,0.201,0.033,0.09,0.193,0.05,0.243,0.132,0.5,0.308,0.158,0.336
0.959,0.582,0.079,0.436,0.251,0.246,0.325,0.448,0.459,0.697,0.549,0.632
0.9,0.626,0.689,0.218,0.534,0.269,0.114,0.457,0.457,0.67,0.535,0.56
0.999,0.737,0.332,0.274,0.729,0.267,0.006,0.383,0.811,0.577,0.331,0.224
1.0,0.363,0.567,0.183,0.636,0.085,0.051,0.484,0.783,0.597,0.556,0.223
0.479,0.333,0.56,0.484,0.715,0.181,0.011,0.553,0.38,0.55,0.616,0.423
0.346,0.286,0.588,0.503,0.695,0.424,0.264,0.628,0.288,0.55,0.441,0.446
0.383,0.735,0.715,0.153,0.585,0.26,0.562,0.729,0.298,0.525,0.338,0.495
0.494,0.716,0.5,0.499,0.287,0.477,0.391,0.478,0.61,0.728,0.644,0.278
0.393,0.487,0.355,0.636,0.572,0.39,0.395,0.711,0.641,0.745,0.292,0.67
0.427,0.145,0.611,0.372,0.263,0.301,0.289,0.775,0.634,0.688,0.434,0.47
0.353,0.468,0.341,0.298,0.415,0.198,0.475,0.436,0.458,0.576,0.323,0.474
0.499,0.603,0.716,0.556,0.645,0.501,0.348,0.717,0.444,0.521,0.434,0.294
0.654,0.728,0.738,0.288,0.573,0.457,0.243,0.332,0.538,0.492,0.617,0.33
0.362,0.726,0.696,0.14,0.624,0.317,0.35,0.595,0.491,0.456,0.623,0.348
0.444,0.553,0.616,0.448,0.585,0.39,0.277,0.449,0.448,0.548,0.292,0.417
