0.966,0.227,0.052,0.095,0.178,0.052,0.256,0.136,0.536,0.312,0.158,0.343
1.0,0.575,0.112,0.441,0.303,0.158,0.354,0.409,0.427,0.578,0.481,0.481
0.999,0.618,0.542,0.279,0.572,0.132,0.13,0.435,0.468,0.602,0.446,0.491
1.0,0.632,0.288,0.32,0.645,0.212,0.01,0.389,0.656,0.554,0.348,0.195
0.999,0.347,0.562,0.213,0.639,0.105,0.061,0.489,0.618,0.54,0.53,0.205
0.45,0.115,0.579,0.543,0.626,0.226,0.107,0.538,0.334,0.514,0.53,0.369
0.345,0.311,0.59,0.619,0.718,0.36,0.295,0.563,0.27,0.51,0.39,0.444
0.381,0.561,0.679,0.208,0.628,0.286,0.586,0.706,0.29,0.532,0.306,0.455
0.49,0.675,0.557,0.581,0.36,0.433,0.38,0.448,0.554,0.652,0.538,0.255
0.377,0.501,0.35,0.603,0.574,0.518,0.361,0.727,0.593,0.641,0.26,0.678
0.421,0.141,0.61,0.407,0.285,0.417,0.284,0.724,0.58,0.644,0.363,0.47
0.41,0.477,0.325,0.335,0.395,0.14,0.473,0.467,0.486,0.543,0.256,0.497
0.457,0.567,0.73,0.579,0.661,0.474,0.356,0.655,0.432,0.483,0.0,0.284
0.571,0.651,0.666,0.288,0.555,0.49,0.27,0.402,0.546,0.475,0.574,0.282
0.326,0.696,0.67,0.158,0.605,0.389,0.313,0.609,0.476,0.44,0.552,0.348
0.434,0.533,0.608,0.485,0.573,0.4,0.288,0.452,0.437,0.505,0.235,0.408
