0.975,0.201,0.033,0.09,0.193,0.05,0.243,0.132,0.5,0.308,0.158,0.336
1.0,0.549,0.101,0.478,0.31,0.297,0.333,0.509,0.501,0.732,0.569,0.615
1.0,0.609,0.692,0.211,0.435,0.32,0.119,0.507,0.476,0.729,0.537,0.622
0.9,0.758,0.385,0.265,0.727,0.3,0.006,0.421,0.847,0.64,0.389,0.232
1.0,0.39,0.588,0.187,0.672,0.095,0.023,0.51,0.803,0.586,0.601,0.25
0.499,0.119,0.6,0.551,0.712,0.275,0.073,0.556,0.425,0.575,0.659,0.433
0.313,0.318,0.585,0.578,0.718,0.48,0.275,0.63,0.304,0.597,0.45,0.484
0.343,0.739,0.703,0.137,0.591,0.336,0.555,0.795,0.31,0.58,0.354,0.561
0.508,0.735,0.519,0.561,0.308,0.472,0.393,0.512,0.627,0.745,0.646,0.293
0.416,0.509,0.384,0.647,0.573,0.549,0.393,0.78,0.683,0.741,0.301,0.701
0.492,0.155,0.593,0.37,0.257,0.367,0.266,0.827,0.533,0.772,0.441,0.514
0.377,0.423,0.361,0.303,0.441,0.169,0.472,0.469,0.513,0.621,0.333,0.471
0.499,0.61,0.762,0.564,0.649,0.523,0.368,0.795,0.481,0.577,0.438,0.323
0.661,0.714,0.741,0.278,0.565,0.483,0.279,0.344,0.619,0.564,0.636,0.31
0.373,0.762,0.71,0.141,0.604,0.341,0.34,0.623,0.527,0.534,0.63,0.414
0.448,0.547,0.633,0.47,0.585,0.423,0.287,0.478,0.477,0.594,0.304,0.43
