0.959,0.291,0.08,0.094,0.177,0.065,0.264,0.137,0.554,0.323,0.178,0.353
0.98,0.369,0.103,0.088,0.23,0.128,0.27,0.173,0.371,0.409,0.342,0.377
0.982,0.39,0.409,0.108,0.326,0.345,0.141,0.261,0.306,0.379,0.281,0.35
0.96,0.41,0.378,0.075,0.517,0.15,0.023,0.285,0.294,0.413,0.191,0.149
0.963,0.269,0.507,0.108,0.473,0.049,0.229,0.351,0.295,0.369,0.352,0.143
0.499,0.008,0.527,0.223,0.367,0.143,0.396,0.386,0.316,0.366,0.34,0.28
0.33,0.045,0.465,0.235,0.426,0.159,0.198,0.474,0.24,0.332,0.224,0.255
0.313,0.065,0.507,0.243,0.475,0.071,0.43,0.386,0.24,0.319,0.194,0.314
0.105,0.095,0.342,0.566,0.27,0.064,0.216,0.258,0.422,0.378,0.353,0.313
0.111,0.162,0.183,0.545,0.126,0.163,0.307,0.334,0.345,0.422,0.17,0.541
0.197,0.165,0.222,0.453,0.215,0.376,0.225,0.35,0.483,0.457,0.239,0.396
0.143,0.494,0.165,0.414,0.584,0.385,0.437,0.219,0.406,0.383,0.183,0.447
0.111,0.558,0.25,0.349,0.607,0.37,0.336,0.352,0.379,0.311,0.23,0.193
0.096,0.621,0.283,0.206,0.552,0.457,0.269,0.405,0.529,0.28,0.357,0.196
0.098,0.629,0.246,0.29,0.527,0.411,0.42,0.458,0.422,0.26,0.344,0.288
0.329,0.427,0.451,0.464,0.441,0.4,0.249,0.333,0.39,0.348,0.166,0.355
